Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
53,UTEP,13,25.2,17.2,31.2,54.9,210.8,1.2,35.2,138.6,3.9,1.7,66.4,349.4,5.3,8.8,7.2,3.0,19.1,7.1,66.5,0.5,0.6,1.1
54,Michigan State,13,25.3,29.2,44.5,65.6,324.8,2.1,34.3,117.2,3.4,0.8,78.8,441.9,5.6,14.8,7.8,1.9,24.5,5.8,46.3,0.8,0.8,1.5
55,Virginia Tech,13,25.3,17.8,30.2,59.2,224.2,1.5,36.7,169.5,4.6,1.5,66.8,393.7,5.9,9.5,9.4,1.5,20.5,6.4,56.2,0.3,0.8,1.1
56,Rutgers,13,25.6,15.8,28.3,56.0,234.9,1.9,38.1,163.2,4.3,1.2,66.4,398.1,6.0,8.9,8.6,1.9,19.5,5.4,47.4,0.7,0.5,1.2
57,Middle Tennessee State,13,25.7,22.1,37.8,58.5,236.5,1.8,34.4,138.0,4.0,1.3,72.2,374.5,5.2,10.4,8.5,1.4,20.3,6.3,52.0,1.1,1.3,2.4
58,Central Michigan,13,25.8,19.8,32.5,60.9,260.0,1.7,35.9,122.5,3.4,1.4,68.4,382.5,5.6,10.0,7.8,1.8,19.6,5.3,48.5,0.8,0.4,1.2
59,Florida Atlantic,12,25.8,20.6,34.9,58.9,252.2,1.6,35.2,157.2,4.5,1.4,70.1,409.3,5.8,10.7,7.6,1.7,19.9,7.7,67.8,0.5,1.1,1.6
60,Oklahoma,13,25.8,22.5,34.2,65.8,261.8,2.0,33.6,129.8,3.9,1.2,67.8,391.5,5.8,11.7,7.8,1.6,21.1,6.3,51.5,1.0,0.8,1.8
61,Oregon State,13,25.8,20.5,33.2,61.9,243.5,1.7,34.6,144.1,4.2,1.5,67.8,387.6,5.7,10.9,9.1,2.3,22.3,6.2,50.5,0.3,1.2,1.5
62,Mississippi State,13,25.9,19.7,30.8,63.8,231.8,1.5,31.2,113.4,3.6,1.2,62.1,345.2,5.6,9.3,6.5,1.1,16.8,6.9,55.9,0.4,0.8,1.2
63,Troy,12,26.1,15.8,25.6,61.6,194.9,1.6,40.9,142.6,3.5,1.3,66.5,337.5,5.1,8.3,8.7,1.8,18.8,7.0,61.6,0.7,1.3,2.0
64,East Carolina,12,26.3,18.8,31.5,59.5,233.1,1.4,34.3,161.8,4.7,1.7,65.8,394.9,6.0,9.5,8.4,1.5,19.4,5.6,49.1,0.6,1.3,1.8
65,Syracuse,12,26.3,18.6,28.1,66.2,204.3,1.8,36.3,127.9,3.5,1.0,64.3,332.2,5.2,8.5,8.2,1.8,18.4,4.7,44.6,0.3,0.3,0.6
66,South Alabama,12,26.4,17.2,28.8,59.5,208.4,1.1,36.3,147.4,4.1,1.8,65.1,355.8,5.5,8.6,8.0,1.6,18.2,6.5,55.7,0.8,1.3,2.1
